"id","rollNumber","first_name","last_name","gender","email_address","semester","password","GPA","hostelno","roomno","contactno"
143,"iit2019021390","ghi","wqeq","male","iit4@gma.com",3,"aWEQ",5.8,,,
144,"iit2019021391","ghi","wqeq","male","iit4@gma.com",3,"aWEQ",5.8,,,
145,"iit2019021392","ghi","wqeq","male","iit4@gma.com",3,"aWEQ",5.8,,,
146,"iit2019021393","ghi","wqeq","male","iit4@gma.com",3,"aWEQ",5.8,,,
147,"iit2019021394","ghi","wqeq","male","iit4@gma.com",3,"aWEQ",5.8,,,
148,"iit2019021395","ghi","wqeq","male","iit4@gma.com",3,"aWEQ",5.8,,,
149,"iit2019021396","ghi","wqeq","male","iit4@gma.com",3,"aWEQ",5.8,,,
150,"iit2019021397","ghi","wqeq","male","iit4@gma.com",3,"aWEQ",5.8,,,
151,"iit2019021398","ghi","wqeq","male","iit4@gma.com",3,"aWEQ",5.8,,,
152,"iit2019021399","ghi","wqeq","male","iit4@gma.com",3,"aWEQ",5.8,,,
153,"iit2019021400","ghi","wqeq","male","iit4@gma.com",3,"aWEQ",5.8,,,
154,"iit2019021401","ghi","wqeq","male","iit4@gma.com",3,"aWEQ",5.8,,,
155,"iit2019021402","ghi","wqeq","male","iit4@gma.com",3,"aWEQ",5.8,,,
156,"iit20191124","ani","def","female","iit1@gma.com",1,"asdf",8.2,,,
157,"iit20191125","ani","def","female","iit1@gma.com",1,"asdf",8.2,,,
158,"iit20191126","ani","def","female","iit1@gma.com",1,"asdf",8.2,,,
159,"iit20191127","ani","def","female","iit1@gma.com",1,"asdf",8.2,,,
160,"iit20191128","ani","def","female","iit1@gma.com",1,"asdf",8.2,,,
161,"iit20191129","ani","def","female","iit1@gma.com",1,"asdf",8.2,,,
162,"iit20191130","ani","def","female","iit1@gma.com",1,"asdf",8.2,,,
163,"iit20191131","ani","def","female","iit1@gma.com",1,"asdf",8.2,,,
164,"iit20191132","ani","def","female","iit1@gma.com",1,"asdf",8.2,,,
165,"iit20191133","ani","def","female","iit1@gma.com",1,"asdf",8.2,,,
166,"iit20191134","ani","def","female","iit1@gma.com",1,"asdf",8.2,,,
167,"iit20191135","ani","def","female","iit1@gma.com",1,"asdf",8.2,,,
168,"iit20191136","ani","def","female","iit1@gma.com",1,"asdf",8.2,,,
169,"iit20191137","ani","def","female","iit1@gma.com",1,"asdf",8.2,,,
170,"iit20191138","ani","def","female","iit1@gma.com",1,"asdf",8.2,,,
171,"iit20191139","ani","def","female","iit1@gma.com",1,"asdf",8.2,,,
172,"iit20191140","ani","def","female","iit1@gma.com",1,"asdf",8.2,,,
173,"iit20191141","ani","def","female","iit1@gma.com",1,"asdf",8.2,,,
174,"iit20191142","ani","def","female","iit1@gma.com",1,"asdf",8.2,,,
175,"iit20191143","ani","def","female","iit1@gma.com",1,"asdf",8.2,,,
176,"iit20191144","ani","def","female","iit1@gma.com",1,"asdf",8.2,,,
177,"iit20191145","ani","def","female","iit1@gma.com",1,"asdf",8.2,,,
178,"iit20191146","ani","def","female","iit1@gma.com",1,"asdf",8.2,,,
179,"iit20191147","ani","def","female","iit1@gma.com",1,"asdf",8.2,,,
180,"iit20191148","ani","def","female","iit1@gma.com",1,"asdf",8.2,,,
181,"iit20191149","ani","def","female","iit1@gma.com",1,"asdf",8.2,,,
182,"iit20191150","ani","def","female","iit1@gma.com",1,"asdf",8.2,,,
183,"iit20191151","ani","def","female","iit1@gma.com",1,"asdf",8.2,,,
184,"iit20191152","ani","def","female","iit1@gma.com",1,"asdf",8.2,,,
185,"iit20191153","ani","def","female","iit1@gma.com",1,"asdf",8.2,,,
186,"iit20191154","ani","def","female","iit1@gma.com",1,"asdf",8.2,,,
187,"iit20191155","ani","def","female","iit1@gma.com",1,"asdf",8.2,,,
188,"iit20191156","ani","def","female","iit1@gma.com",1,"asdf",8.2,,,
189,"iit20191157","ani","def","female","iit1@gma.com",1,"asdf",8.2,,,
190,"iit20191158","ani","def","female","iit1@gma.com",1,"asdf",8.2,,,
191,"iit20191159","ani","def","female","iit1@gma.com",1,"asdf",8.2,,,
192,"iit20191160","ani","def","female","iit1@gma.com",1,"asdf",8.2,,,
193,"iit20191161","ani","def","female","iit1@gma.com",1,"asdf",8.2,,,
194,"iit20191162","ani","def","female","iit1@gma.com",1,"asdf",8.2,,,
195,"iit20191163","ani","def","female","iit1@gma.com",1,"asdf",8.2,,,
196,"iit20191164","ani","def","female","iit1@gma.com",1,"asdf",8.2,,,
197,"iit20191165","ani","def","female","iit1@gma.com",1,"asdf",8.2,,,
198,"iit20191166","ani","def","female","iit1@gma.com",1,"asdf",8.2,,,
199,"iit20191167","ani","def","female","iit1@gma.com",1,"asdf",8.2,,,
200,"iit20191168","ani","def","female","iit1@gma.com",1,"asdf",8.2,,,
201,"iit20191169","ani","def","female","iit1@gma.com",1,"asdf",8.2,,,
202,"iit20191170","ani","def","female","iit1@gma.com",1,"asdf",8.2,,,
203,"iit20191171","ani","def","female","iit1@gma.com",1,"asdf",8.2,,,
204,"iit20191172","ani","def","female","iit1@gma.com",1,"asdf",8.2,,,
205,"iit20191173","ani","def","female","iit1@gma.com",1,"asdf",8.2,,,
206,"iit20191174","ani","def","female","iit1@gma.com",1,"asdf",8.2,,,
207,"iit20191175","ani","def","female","iit1@gma.com",1,"asdf",8.2,,,
208,"iit20191176","ani","def","female","iit1@gma.com",1,"asdf",8.2,,,
209,"iit20191177","ani","def","female","iit1@gma.com",1,"asdf",8.2,,,
210,"iit201911232312","ani","def","female","iit1@gma.com",1,"asdf",8.2,,,
211,"iit2232312","ani","def","female","iit1@gma.com",1,"asdf",8.2,,,
212,"iit2232313","ani","def","female","iit1@gma.com",1,"asdf",8.2,,,
213,"iit2232314","ani","def","female","iit1@gma.com",1,"asdf",8.2,,,
214,"iit2232315","ani","def","female","iit1@gma.com",1,"asdf",8.2,,,
215,"iit2232316","ani","def","female","iit1@gma.com",1,"asdf",8.2,,,
216,"iit2232317","ani","def","female","iit1@gma.com",1,"asdf",8.2,,,
217,"iit2232318","ani","def","female","iit1@gma.com",1,"asdf",8.2,,,
218,"iit2232319","ani","def","female","iit1@gma.com",1,"asdf",8.2,,,
219,"iit2232320","ani","def","female","iit1@gma.com",1,"asdf",8.2,,,
220,"iit2232364","ani","def","female","iit1@gma.com",1,"asdf",8.2,,,
221,"iit2232303","ani","def","female","iit1@gma.com",1,"asdf",8.2,,,
222,"iit2232312312","ani","def","female","iit1@gma.com",1,"asdf",8.2,,,
223,"iit11111111","ani","def","female","iit1@gma.com",1,"asdf",8.2,,,
224,"1","asd","sd","male","a@b.com",1,"a",9,,,
